"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/20/2015","AQS","530330017","4","3.2","ug/m3 LC","18","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/21/2015","AQS","530330017","4","1.9","ug/m3 LC","11","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/22/2015","AQS","530330017","4","3","ug/m3 LC","17","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/23/2015","AQS","530330017","4","1.7","ug/m3 LC","9","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/24/2015","AQS","530330017","4","2.7","ug/m3 LC","15","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/25/2015","AQS","530330017","4","2.3","ug/m3 LC","13","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/26/2015","AQS","530330017","4","6.7","ug/m3 LC","37","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/27/2015","AQS","530330017","4","6.4","ug/m3 LC","36","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/28/2015","AQS","530330017","4","4.5","ug/m3 LC","25","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/29/2015","AQS","530330017","4","3.2","ug/m3 LC","18","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/30/2015","AQS","530330017","4","5.3","ug/m3 LC","29","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/31/2015","AQS","530330017","4","8.9","ug/m3 LC","49","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
